TOTAL SAMPLES: 122510
BENCHMARK-RELATED (attributeFiltering) SAMPLES: 98574 (80.5%)

   61547 (62.44% of bench)  io/evitadb/core/query/QueryPlan.execute_[i]
   61547 (62.44% of bench)  io/evitadb/core/query/QueryPlan.execute_[j]
   57848 (58.68% of bench)  io/evitadb/core/transaction/Transaction.executeInTransactionIfProvided_[0]
   57590 (58.42% of bench)  io/evitadb/api/EvitaContract.updateCatalog_[0]
   56132 (56.94% of bench)  io/evitadb/core/session/EvitaSession.upsertEntity_[i]
   38250 (38.80% of bench)  io/evitadb/comparator/LocalizedStringComparator.compare_[i]
   37778 (38.32% of bench)  io/evitadb/core/query/algebra/base/AndFormula.getRoaringBitmaps_[j]
   37774 (38.32% of bench)  io/evitadb/core/query/algebra/AbstractFormula.computeSortedConjunctionBitmaps_[i]
   34620 (35.12% of bench)  io/evitadb/core/query/algebra/attribute/AttributeFormula.computeInternal_[j]
   34611 (35.11% of bench)  io/evitadb/core/query/algebra/prefetch/SelectionFormula.computeInternal_[j]
   31251 (31.70% of bench)  io/evitadb/core/query/algebra/base/OrFormula.computeInternal_[1]
   29054 (29.47% of bench)  io/evitadb/core/session/EvitaSessionProxy.invoke_[0]
   29053 (29.47% of bench)  io/evitadb/core/session/EvitaSessionProxy.executeDelegateMethod_[0]
   29053 (29.47% of bench)  io/evitadb/core/session/EvitaSessionProxy.executeWithinTransactionContext_[0]
   29053 (29.47% of bench)  io/evitadb/core/session/EvitaSessionProxy$$Lambda.0x000073a4002fe7d0.get_[0]
   29053 (29.47% of bench)  io/evitadb/core/session/EvitaSessionProxy.lambda$executeWithinTransactionContext$2_[0]
   29053 (29.47% of bench)  io/evitadb/core/session/EvitaSessionProxy.executeMethodWithTracingAndMetrics_[0]
